epoch,loss,val_loss
0,0.010827634483575821,0.0009784720605239272
1,0.00238955020904541,0.0005839606164954603
2,0.0014831252628937364,0.0005475998623296618
3,0.0008875023922882974,0.0004377530422061682
4,0.0006208354025147855,2.5393701434950344e-05
5,0.0004286571347620338,1.6582675016252324e-05
6,0.00033285224344581366,5.964267984381877e-05
7,0.0003199935017619282,1.0290437785442919e-05
8,0.0003047978680115193,1.5375246221083216e-05
9,0.0002861912362277508,1.8414712030789815e-05
10,0.0002573267265688628,7.888113941589836e-06
11,0.0002528641780372709,2.673634298844263e-05
12,0.00024714283063076437,1.8983942936756648e-05
13,0.0002448986633680761,9.52954633248737e-06
14,0.00022319488925859332,1.0088204362546094e-05
15,0.0002365219552302733,8.532449101039674e-06
16,0.00022824987536296248,7.085072866175324e-05
17,0.00025057719903998077,7.2781781454978045e-06
18,0.00019560579676181078,8.442382750217803e-06
19,0.00023325305664911866,4.500118302530609e-05
20,0.00019201578106731176,1.6928206605371088e-05
21,0.0002142533630831167,1.3482236681738868e-05
22,0.00020170283096376806,2.973552909679711e-05
23,0.0001766606728779152,9.764405149326194e-06
24,0.00018657080363482237,1.0520049727347214e-05
25,0.00018003900186158717,9.82577694230713e-06
26,0.0001594388158991933,6.375509656209033e-06
27,0.00016092817531898618,8.745628292672336e-06
28,0.00016815740673337132,7.910812200861983e-06
29,0.0001459295890526846,9.926719940267503e-06
30,0.00014593201922252774,6.166484126879368e-06
31,0.0001562437682878226,4.562678441288881e-05
32,0.00017291602853219956,5.854174560226966e-06
33,0.0001457456819480285,6.121284513938008e-06
34,0.00013752943777944893,1.0861920600291342e-05
35,0.000134187241201289,6.221797320904443e-06
36,0.00013145072443876415,7.713925697316881e-06
37,0.0001289788488065824,1.129895645135548e-05
38,0.00012837789836339653,8.058666026045103e-06
39,0.0001259964774362743,1.1650470696622506e-05
40,0.00013880987535230815,6.125612799223745e-06
41,0.00012241983495187014,1.1416322195145767e-05
42,0.00012648293341044337,1.209175206895452e-05
43,0.00011311841080896556,2.2966985852690414e-05
44,0.00011659954179776832,8.369621355086565e-06
45,0.0001152477998402901,1.1099344192189164e-05
46,0.00012056430568918586,6.947043857508106e-06
47,0.00010250911873299628,1.0673723409126978e-05
48,0.00010281615686835721,1.4472705515800044e-05
49,0.00012330911704339087,2.827392381732352e-05
50,0.00012635854363907129,7.973540959937964e-06
51,0.0001135100465035066,5.680916729033925e-06
52,0.0001092605889425613,2.4592154659330845e-05
53,0.00012417796824593097,1.710520518827252e-05
54,0.00011975091911153868,6.244040378078353e-06
55,9.91791530395858e-05,1.4028615623828955e-05
56,0.00010128392023034394,1.5230104509100784e-05
57,9.577414311934263e-05,1.9022631022380665e-05
58,9.532751573715359e-05,4.122259269934148e-06
59,9.256812336388975e-05,3.8259263419604395e-06
60,9.536379366181791e-05,9.203040463034995e-06
61,8.728556713322178e-05,4.887762315775035e-06
62,9.246894478565082e-05,7.439681667165132e-06
63,9.991051774704829e-05,5.1167439778510015e-06
64,0.00010146758722839877,4.88568230139208e-06
65,8.210605301428586e-05,5.853859875060152e-06
66,9.651362779550254e-05,1.0648152965586632e-05
67,9.20216043596156e-05,4.6315922190842684e-06
68,9.724434494273737e-05,9.081807547772769e-06
69,8.85037807165645e-05,4.335758603701834e-06
70,8.947140304371715e-05,8.086326488410123e-06
71,8.583142334828153e-05,1.165647972811712e-05
72,8.248692029155791e-05,6.9220573095662985e-06
73,8.069768227869645e-05,7.368230399151798e-06
74,8.561203139834106e-05,4.431228717294289e-06
75,7.678740075789392e-05,9.239896826329641e-06
76,9.089919331017882e-05,2.3819304260541685e-05
77,0.0001053825908456929,2.8622127501876093e-05
78,8.724570216145366e-05,8.590295692556538e-06
79,7.635643123649061e-05,4.910893039777875e-06
80,7.691232895012945e-05,1.3380828022491187e-05
81,9.487036004429683e-05,2.4905970349209383e-05
82,9.974950080504641e-05,1.2752877410093788e-05
83,6.957902223803103e-05,8.213396540668327e-06
84,8.919396350393072e-05,1.5864776287344284e-05
85,7.506452675443143e-05,5.156950464879628e-06
86,8.349369454663247e-05,3.878460574924247e-06
87,7.268503395607695e-05,1.0343949725211132e-05
88,7.641264528501779e-05,1.017973045236431e-05
89,8.686505316291004e-05,2.1264966562739573e-05
90,9.229203715221956e-05,2.07431658054702e-05
91,8.09187549748458e-05,7.992403880052734e-06
92,8.324073860421777e-05,1.1663816621876322e-05
93,7.402733899652958e-05,4.7748139877512585e-06
94,9.559423051541671e-05,1.0531711268413346e-05
95,9.516605496173725e-05,4.507966878009029e-06
96,7.359481969615445e-05,7.544791515101679e-06
97,7.585850107716396e-05,4.393896688270615e-06
98,8.795603207545355e-05,5.142098416399676e-06
99,0.00010369399387855083,4.693048595072469e-06
