epoch,loss,val_loss
0,0.03726626932621002,0.00690167210996151
1,0.006293044425547123,0.0015194721054285765
2,0.002708723768591881,0.0017520259134471416
3,0.0019694429356604815,0.0004068961716257036
4,0.0014581666328012943,0.00020516062795650214
5,0.001155814272351563,0.0001554736081743613
6,0.0010208975290879607,0.00022898938914295286
7,0.0008830043952912092,4.3129592086188495e-05
8,0.0008782385266385972,8.057827653829008e-05
9,0.0008106124005280435,5.6118969951057807e-05
10,0.0007970929727889597,0.00014946307055652142
11,0.0007606623112224042,8.629554940853268e-05
12,0.0007169144810177386,3.998234387836419e-05
13,0.0006900161388330162,2.1831297999597155e-05
14,0.0006611220887862146,2.2767288101022132e-05
15,0.0006418251432478428,2.787991616060026e-05
16,0.0006452564848586917,8.936644007917494e-05
17,0.0006368038593791425,6.62168167764321e-05
18,0.0006212290609255433,7.767518400214612e-05
19,0.000646767788566649,2.5643568733357824e-05
20,0.0005354084423743188,6.769793981220573e-05
21,0.0005983362207189202,2.0124918592046015e-05
22,0.0005308640538714826,1.5619383702869527e-05
23,0.0005135591491125524,2.3626331312698312e-05
24,0.0005203919135965407,1.2767147381964605e-05
25,0.0005219699232839048,2.6424120733281597e-05
26,0.0005109011544845998,7.104539690772071e-05
27,0.00047989707672968507,1.6881775081856176e-05
28,0.00048747757682576776,2.2244250430958346e-05
29,0.0004420657642185688,3.098503657383844e-05
30,0.00045235457946546376,2.2542641090694815e-05
31,0.0004512047744356096,5.213309486862272e-05
32,0.0004536682681646198,7.335290138144046e-05
33,0.0004214933142066002,2.8197604478918947e-05
34,0.00043449256918393075,2.9299424568307586e-05
35,0.0004399917379487306,1.9243179849581793e-05
36,0.0003830856585409492,1.6331716324202716e-05
37,0.00037579916534014046,2.3691729438723996e-05
38,0.00036866599111817777,3.856452167383395e-05
39,0.00036688856198452413,1.6370753655792214e-05
40,0.0003596543101593852,1.7343605577480048e-05
41,0.0003596598980948329,2.499967740732245e-05
42,0.00035411029239185154,4.5067448809277266e-05
43,0.000360188219929114,7.419130997732282e-05
44,0.0003758487291634083,6.352885975502431e-05
45,0.00035172756179235876,4.877213359577581e-05
46,0.00033744346001185477,1.179965511255432e-05
47,0.00036700256168842316,3.843595550279133e-05
48,0.0003407199401408434,1.340107246505795e-05
49,0.0003392471116967499,3.3626074582571164e-05
50,0.00035489682340994477,0.00040828940109349787
51,0.0005064133438281715,5.0260427087778226e-05
52,0.00038487784331664443,1.790229362086393e-05
53,0.00032883090898394585,4.545297269942239e-05
54,0.0003384675073903054,1.59659466589801e-05
55,0.0002999825810547918,1.6108035197248682e-05
56,0.0003283309342805296,1.3387249964580406e-05
57,0.0003226826374884695,2.8061431294190697e-05
58,0.0003031925007235259,6.587400275748223e-05
59,0.0003186079557053745,0.00018667605763766915
60,0.0004177805967628956,7.408188685076311e-05
61,0.0003716705250553787,3.450831718510017e-05
62,0.00028194376500323415,1.728491588437464e-05
63,0.0003538337186910212,1.5545096175628714e-05
64,0.0003058089059777558,3.469891817076132e-05
65,0.00030263641383498907,4.857654857914895e-05
66,0.00027509237406775355,4.294675454730168e-05
67,0.00028280963306315243,6.406668398994952e-05
68,0.0002836117928382009,5.3188337915344164e-05
69,0.0002886113943532109,5.6347598729189485e-05
70,0.00028799110441468656,1.3219854736234993e-05
71,0.00028160400688648224,5.645546843879856e-05
72,0.0003149893309455365,1.8459697457728907e-05
73,0.00026039089425466955,2.775321263470687e-05
74,0.0002563202288001776,2.8277203455218114e-05
75,0.00025114326854236424,6.10711649642326e-05
76,0.0002578500425443053,2.2997051928541623e-05
77,0.0002404068800387904,1.1696456567733549e-05
78,0.00023223737662192434,1.2841249372286256e-05
79,0.00025544260279275477,3.178275437676348e-05
80,0.0002627306093927473,2.495961234671995e-05
81,0.0002495600492693484,7.348768849624321e-05
82,0.00034352910006418824,8.53611491038464e-05
83,0.00027219904586672783,9.446976764593273e-05
84,0.00028511512209661305,5.285027509671636e-05
85,0.00028782765730284154,0.00010201407712884247
86,0.000324701628414914,3.7797177355969325e-05
87,0.0002796571352519095,1.7494699932285585e-05
88,0.0002708809042815119,2.249498174933251e-05
89,0.00028430818929336965,1.2067103853041772e-05
90,0.000263915688265115,1.309285198658472e-05
91,0.00023872315068729222,0.00010134607146028429
92,0.00024044443853199482,7.705407188041136e-05
93,0.0002407528954790905,2.0732084522023797e-05
94,0.000227096737944521,2.170972766180057e-05
95,0.00022223319683689624,2.5872552214423195e-05
96,0.0002435560745652765,0.00010402162297395989
97,0.00023766941740177572,1.4466936590906698e-05
98,0.00026637446717359126,7.318612188100815e-05
99,0.0002395582851022482,1.3223328096501064e-05
