epoch,loss,val_loss
0,0.006828308571130037,0.1330181211233139
1,0.0036837083753198385,0.07443366944789886
2,0.0017969940090551972,0.010393958538770676
3,0.0005521237035281956,0.0018888376653194427
4,0.000325032597174868,0.0009518545120954514
5,0.00026011408772319555,0.00010745730833150446
6,0.000241294241277501,0.000664064078591764
7,0.0002178531576646492,0.00021074299002066255
8,0.0001972056197701022,0.0004916071775369346
9,0.00018616374291013926,0.0003519185120239854
10,0.00017456217028666288,0.000559402396902442
11,0.00017466465942561626,0.0004363606858532876
12,0.00016275187954306602,0.0008153649978339672
13,0.00015087411156855524,0.0003622165531851351
14,0.00014677683066111058,0.0002997955307364464
15,0.0001357585279038176,0.0005806594854220748
16,0.0001276228140341118,0.0006793775828555226
17,0.00012346856237854809,9.218542254529893e-05
18,0.0001245239400304854,0.0004525590920820832
19,0.00011167024058522657,0.0002943827712442726
20,0.00011337048636050895,0.00038573594065383077
21,0.00010744036262622103,0.0007801279425621033
22,0.00010978437057929114,0.00010108168498845771
23,9.854220843408257e-05,0.0006831731298007071
24,0.00010216929513262585,0.00010536990157561377
25,9.774685895536095e-05,0.0011628440115600824
26,0.00010112646850757301,9.48803499341011e-05
27,9.851445065578446e-05,0.0007068201084621251
28,8.486551087116823e-05,0.0003889875370077789
29,8.488466119160876e-05,0.0008316218154504895
30,7.889799599070102e-05,0.00043680728413164616
31,7.730005017947406e-05,0.0003923680924344808
32,7.844572246540338e-05,0.00028521756757982075
33,7.62730633141473e-05,0.0007682376308366656
34,7.15167261660099e-05,0.00028523948276415467
35,7.45278230169788e-05,0.0007085426477715373
36,7.196763181127608e-05,0.0006753652705810964
37,6.831032078480348e-05,0.0002828376309480518
38,6.10495189903304e-05,0.0006156135350465775
39,6.588712858501822e-05,0.00033780280500650406
40,6.261622911551967e-05,0.0006170092383399606
41,6.530834798468277e-05,0.0005472864722833037
42,6.37452321825549e-05,0.0002943839062936604
43,6.252021557884291e-05,0.0005749095580540597
44,5.631309250020422e-05,0.0006519281887449324
45,5.755660458817147e-05,0.00027707446133717895
46,5.582641460932791e-05,0.0008372724987566471
47,5.77941355004441e-05,0.00027199345640838146
48,5.632527972920798e-05,0.000335525517584756
49,6.471066444646567e-05,0.0006843708688393235
50,5.562676233239472e-05,0.0002452986082062125
51,5.442332258098759e-05,0.000504793250001967
52,5.026965300203301e-05,0.0006909876829013228
53,4.934189564664848e-05,0.0001553106849314645
54,5.444388807518408e-05,0.0005367690464481711
55,4.752259701490402e-05,0.0003483869368210435
56,4.9765581934479997e-05,0.0003081353206653148
57,4.8750614951131865e-05,0.0002534109225962311
58,4.3973639549221843e-05,0.00038320632302202284
59,5.040355245000683e-05,0.0001739441358949989
60,5.075384979136288e-05,0.00013395170390140265
61,4.66945675725583e-05,0.00040491591789759696
62,4.617515151039697e-05,0.00030615756986662745
63,4.5022567064734176e-05,0.0001940146612469107
64,4.721486766356975e-05,0.00024751827004365623
65,4.609174357028678e-05,0.000109505643195007
66,4.577587969833985e-05,0.0003695729828905314
67,4.041740612592548e-05,0.0003615467867348343
68,4.024604641017504e-05,0.0002799728245008737
